,system:index,classification,Lat,Lon,B2,B3,B4,B8
414,414,5,-1.1674098173365592,36.95374607333565,1709.9166666666667,1619.9166666666667,1588.3333333333333,1524.1666666666667
415,415,2,-1.1858275740675728,36.932847380711486,1936.8333333333333,1754.3333333333333,1685.4166666666667,1670.8333333333333
416,416,5,-1.2089954045008482,36.98344239375528,2795.9583333333335,2596.0833333333335,2429.5,2490.25
417,417,5,-1.2150926601482164,36.958358342995695,1741.7916666666667,1596.5,1503.625,1496.2916666666667
418,418,5,-1.2132105726319782,36.98458930276336,2260.8333333333335,2070.6666666666665,2071.2916666666665,2020.3333333333333
419,419,2,-1.2075899681471556,36.937178909710966,2604.75,2335.25,2222.5,2245.75
420,420,1,-1.2136397606365186,36.957525803892935,1837.9583333333333,1565.375,1463.375,1502.2916666666667
421,421,3,-1.2122260076310871,36.97824409079948,2228.0,2048.5416666666665,2031.1666666666667,1922.5416666666667
422,422,0,-1.2128137955783018,36.913891085188,1820.6666666666667,1640.5,1617.4166666666667,1564.4166666666667
423,423,3,-1.1972825840660373,36.947742606046944,2166.0,1914.0416666666667,1867.75,1838.625
424,424,2,-1.2019391445187768,36.92531886122181,2347.5833333333335,2164.8333333333335,2071.1666666666665,2070.5833333333335
425,425,2,-1.2258241026032377,36.923043844214654,2156.0,2068.5,2007.4166666666667,1941.9166666666667
426,426,1,-1.205615824412052,36.92225133483404,1908.9166666666667,1700.1666666666667,1631.1666666666667,1634.5833333333333
427,427,2,-1.2137397582266083,36.96555396267967,2258.75,2085.7083333333335,2066.0833333333335,2027.2916666666667
428,428,2,-1.1904640984457346,36.94505708736239,3092.1666666666665,2816.75,2696.5,2688.9166666666665
429,429,5,-1.2056352916397417,36.9690783920139,2887.0416666666665,2605.2083333333335,2520.0,2457.7916666666665
430,430,3,-1.2239999144170182,36.93225381050072,2117.25,1812.9166666666667,1723.6666666666667,1754.75
431,431,1,-1.2015320024800558,36.92528475871858,2374.0,2106.25,2022.4166666666667,2051.9166666666665
432,432,0,-1.211903048441252,36.90471357185635,2461.8333333333335,2142.3333333333335,1959.8333333333333,2088.75
433,433,5,-1.1683688854280654,36.9567257156165,2007.7916666666667,1776.25,1664.0416666666667,1727.2083333333333
434,434,5,-1.207734678876049,36.9836126633461,2285.7083333333335,2295.0833333333335,2327.7083333333335,2063.0833333333335
435,435,1,-1.2074718292196651,36.91432175434026,2424.0833333333335,2231.25,2140.9166666666665,2151.3333333333335
436,436,2,-1.2214525340235258,36.92904787207699,2039.5833333333333,1725.6666666666667,1603.4166666666667,1685.25
437,437,1,-1.22106571476367,36.91428985336521,2652.9166666666665,2457.5,2296.4166666666665,2394.6666666666665
438,438,5,-1.1978761407355745,36.97879528457304,3206.875,2875.5833333333335,2687.4166666666665,2771.0833333333335
